month,loanrate
200601,5.69
200602,5.71
200603,5.68
200604,5.62
200605,5.64
200606,5.72
200607,5.95
200608,6.03
200609,5.9
200610,5.84
200611,5.82
200612,5.97
200701,6.2
200702,6.25
200703,6.32
200704,6.3
200705,6.39
200706,6.33
200707,6.38
200708,6.51
200709,6.66
200710,6.71
200711,6.75
200712,6.99
200801,7.21
200802,6.95
200803,6.89
200804,6.99
200805,6.95
200806,6.93
200807,7.12
200808,7.35
200809,7.45
200810,7.77
200811,7.62
200812,7.01
200901,5.84
200902,5.73
200903,5.62
200904,5.5
200905,5.48
200906,5.47
200907,5.58
200908,5.63
200909,5.96
200910,6.05
200911,6
200912,5.95
201001,6.02
201002,5.92
201003,5.8
201004,5.46
201005,5.16
201006,5.15
201007,5.13
201008,5.26
201009,5.22
201010,5.21
201011,5.15
201012,5.08
201101,5.3
201102,5.26
201103,5.41
201104,5.42
201105,5.49
201106,5.47
201107,5.46
201108,5.58
201109,5.66
201110,5.56
201111,5.6
201112,5.37
201201,5.8
201202,5.67
201203,5.62
201204,5.54
201205,5.51
201206,5.38
201207,5.2
201208,4.9
201209,4.86
201210,4.84
201211,4.74
201212,4.54
201301,4.84
201302,4.61
201303,4.55
201304,4.42
201305,4.3
201306,4.11
201307,4.31
201308,4.33
201309,4.26
201310,4.21
201311,4.19
201312,4.1
201401,4.15
201402,4.05
201403,4.09
201404,4.04
201405,4.02
201406,3.94
201407,3.93
201408,3.76
201409,3.76
201410,3.64
201411,3.55
201412,3.55
201501,3.59
201502,3.48
201503,3.21
201504,2.96
201505,3.27
201506,3.22
201507,3.17
201508,3.13
201509,3.11
201510,3.06
201511,3.16
201512,3.23
201601,3.28
201602,3.21
201603,3.24
201604,3.17
201605,3.16
201606,3.06
201607,2.96
201608,2.95
201609,3.03
201610,3.08
201611,3.2
201612,3.29
201701,3.39
201702,3.38
201703,3.43
201704,3.41
201705,3.47
201706,3.41
201707,3.46
201708,3.39
201709,3.41
201710,3.51
201711,3.59
201712,3.61
201801,3.71
201802,3.65
201803,3.69
201804,3.69
201805,3.75
201806,3.72
201807,3.73
201808,3.66
201809,3.62
201810,3.64
201811,3.63
201812,3.61
201901,3.58
201902,3.5
201903,3.53
201904,3.48
201905,3.49
201906,3.25
201907,3.12
201908,2.92
201909,3.02
201910,3.01
201911,2.96
201912,2.98
202001,2.95
202002,2.9
202003,2.88
202004,2.89
202005,2.81
202006,2.67
202007,2.62
202008,2.55
202009,2.59
202010,2.64
202011,2.72
202012,2.79
202101,2.83
202102,2.81
202103,2.88
202104,2.91
202105,2.89
202106,2.92
202107,2.98
202108,3.1
202109,3.18
202110,3.46
202111,3.61
202112,3.66
202201,3.91
202202,3.93
202203,3.98
202204,4.05
202205,4.14
202206,4.23
202207,4.53
202208,4.76
202209,5.15
202210,5.34
202211,5.57
202212,5.64
202301,5.47
202302,5.22
202303,4.96
202304,4.82
202305,4.83
202306,4.81
202307,4.8
202308,4.83
202309,4.9
202310,5.04
202311,5.04
202312,4.82
